Date,AAPL,MSFT,SPY
2010-02-08,119567700.0,52820600.0,224166900.0
2010-02-09,158221700.0,59195800.0,337820500.0
2010-02-10,92590400.0,48591300.0,240511500.0
2010-02-11,137586400.0,65993700.0,223591600.0
2010-02-12,163867200.0,81117200.0,304622100.0
2010-02-13,163867200.0,81117200.0,304622100.0
2010-02-14,163867200.0,81117200.0,304622100.0
2010-02-15,163867200.0,81117200.0,304622100.0
2010-02-16,135934400.0,51935600.0,159317500.0
2010-02-17,109099200.0,45882900.0,168845100.0
2010-02-18,105706300.0,42856500.0,193708600.0
2010-02-19,103867400.0,44451800.0,222684900.0
2010-02-20,103867400.0,44451800.0,222684900.0
2010-02-21,103867400.0,44451800.0,222684900.0
2010-02-22,97640900.0,36707100.0,132346900.0
2010-02-23,143773700.0,52266200.0,207497000.0
2010-02-24,115141600.0,43165900.0,176350700.0
2010-02-25,166281500.0,48735300.0,259634700.0
2010-02-26,126865200.0,40370600.0,173589300.0
2010-02-27,126865200.0,40370600.0,173589300.0
2010-02-28,126865200.0,40370600.0,173589300.0
2010-03-01,137523400.0,43805400.0,147709700.0
2010-03-02,141636600.0,93123900.0,160992400.0
2010-03-03,93013200.0,48442100.0,150785000.0
2010-03-04,91510300.0,42890600.0,135770400.0
2010-03-05,224905100.0,56001800.0,176118800.0
2010-03-06,224905100.0,56001800.0,176118800.0
2010-03-07,224905100.0,56001800.0,176118800.0
2010-03-08,107472400.0,39414500.0,114631200.0
2010-03-09,230064800.0,50271600.0,154556700.0
2010-03-10,149054500.0,44891400.0,186088800.0
2010-03-11,101425100.0,35349700.0,160791100.0
2010-03-12,104080900.0,31700200.0,162074800.0
2010-03-13,104080900.0,31700200.0,162074800.0
2010-03-14,104080900.0,31700200.0,162074800.0
2010-03-15,123375700.0,37512000.0,146816800.0
2010-03-16,111727000.0,36723500.0,168673000.0
2010-03-17,112739200.0,50385700.0,177468100.0
2010-03-18,85527400.0,43845200.0,196509100.0
2010-03-19,139861400.0,81332100.0,226641100.0
2010-03-20,139861400.0,81332100.0,226641100.0
2010-03-21,139861400.0,81332100.0,226641100.0
2010-03-22,114104900.0,37718200.0,184477800.0
2010-03-23,150607800.0,42026600.0,182941600.0
2010-03-24,149445100.0,33987700.0,196072600.0
2010-03-25,135571100.0,73168700.0,223396300.0
2010-03-26,160218800.0,55595500.0,205808500.0
2010-03-27,160218800.0,55595500.0,205808500.0
2010-03-28,160218800.0,55595500.0,205808500.0
2010-03-29,135186100.0,33336000.0,134513500.0
2010-03-30,131827500.0,34954800.0,145772500.0
2010-03-31,107664900.0,63760000.0,161078700.0
2010-04-01,150786300.0,74768100.0,161215200.0
2010-04-02,150786300.0,74768100.0,161215200.0
2010-04-03,150786300.0,74768100.0,161215200.0
2010-04-04,150786300.0,74768100.0,161215200.0
2010-04-05,171126900.0,34331200.0,105847600.0
2010-04-06,111754300.0,47366800.0,110384200.0
2010-04-07,157125500.0,58318800.0,184576300.0
2010-04-08,143247300.0,63713800.0,158704000.0
2010-04-09,83545700.0,54752500.0,133006500.0
2010-04-10,83545700.0,54752500.0,133006500.0
2010-04-11,83545700.0,54752500.0,133006500.0
2010-04-12,83256600.0,37068800.0,110279000.0
2010-04-13,76552700.0,41374600.0,125043600.0
2010-04-14,101019100.0,68941200.0,161609000.0
2010-04-15,94196200.0,52745400.0,144615300.0
2010-04-16,187636400.0,88703100.0,366786700.0
2010-04-17,187636400.0,88703100.0,366786700.0
2010-04-18,187636400.0,88703100.0,366786700.0
2010-04-19,141731100.0,64970300.0,217947800.0
2010-04-20,184581600.0,52199500.0,157708000.0
2010-04-21,245597800.0,55343100.0,192910100.0
2010-04-22,198356200.0,84847600.0,115360300.0
2010-04-23,199238900.0,126766600.0,177335500.0
2010-04-24,199238900.0,126766600.0,177335500.0
2010-04-25,199238900.0,126766600.0,177335500.0
2010-04-26,119767200.0,63649300.0,143457300.0
2010-04-27,177335900.0,68730900.0,355853300.0
2010-04-28,189600600.0,64557900.0,300674100.0
2010-04-29,139710200.0,52665200.0,193775000.0
2010-04-30,135615900.0,63214800.0,270000900.0
2010-05-01,135615900.0,63214800.0,270000900.0
2010-05-02,135615900.0,63214800.0,270000900.0
2010-05-03,113585500.0,43989500.0,182747900.0
2010-05-04,180954900.0,82085600.0,360353400.0
2010-05-05,220775800.0,66833800.0,328973200.0
2010-05-06,321465200.0,128613000.0,647356600.0
2010-05-07,419004600.0,173718100.0,637558800.0
2010-05-08,419004600.0,173718100.0,637558800.0
2010-05-09,419004600.0,173718100.0,637558800.0
2010-05-10,246076600.0,86653300.0,396159600.0
2010-05-11,212226700.0,63789400.0,317849800.0
2010-05-12,163594900.0,47146800.0,235607100.0
2010-05-13,149928100.0,45188800.0,234452500.0
2010-05-14,189840700.0,63334000.0,345601400.0
2010-05-15,189840700.0,63334000.0,345601400.0
2010-05-16,189840700.0,63334000.0,345601400.0
2010-05-17,190708700.0,46053300.0,325739800.0
2010-05-18,195669600.0,52690600.0,360556800.0
2010-05-19,256431700.0,61746700.0,394742700.0
2010-05-20,320728800.0,87991100.0,530418300.0
2010-05-21,305972800.0,117596300.0,500909400.0
2010-05-22,305972800.0,117596300.0,500909400.0
2010-05-23,305972800.0,117596300.0,500909400.0
2010-05-24,188559700.0,73711700.0,269823000.0
2010-05-25,262001600.0,98373600.0,396505200.0
2010-05-26,212663500.0,176684100.0,349719300.0
2010-05-27,166570600.0,136433600.0,300870500.0
2010-05-28,203903700.0,67496900.0,297933500.0
2010-05-29,203903700.0,67496900.0,297933500.0
2010-05-30,203903700.0,67496900.0,297933500.0
2010-05-31,203903700.0,67496900.0,297933500.0
2010-06-01,219118200.0,76152400.0,277909400.0
2010-06-02,172137000.0,65718800.0,240243700.0
2010-06-03,162526700.0,67837000.0,226618300.0
2010-06-04,189576100.0,89832200.0,398475600.0
2010-06-05,189576100.0,89832200.0,398475600.0
2010-06-06,189576100.0,89832200.0,398475600.0
2010-06-07,221735500.0,80456200.0,264609100.0
2010-06-08,250192600.0,87355000.0,357774300.0
2010-06-09,213657500.0,87794000.0,268023300.0
2010-06-10,194089000.0,78930900.0,317890600.0
2010-06-11,136439800.0,68057700.0,214128200.0
2010-06-12,136439800.0,68057700.0,214128200.0
2010-06-13,136439800.0,68057700.0,214128200.0
2010-06-14,150740100.0,50972400.0,207196100.0
2010-06-15,146268500.0,81641500.0,238268700.0
2010-06-16,195919500.0,48698000.0,216374000.0
2010-06-17,218213800.0,47995500.0,263185800.0
2010-06-18,196155400.0,52075600.0,174006600.0
2010-06-19,196155400.0,52075600.0,174006600.0
2010-06-20,196155400.0,52075600.0,174006600.0
2010-06-21,194122600.0,54625300.0,213140700.0
2010-06-22,179315500.0,55985400.0,239355400.0
2010-06-23,192114300.0,61466200.0,254639900.0
2010-06-24,178569300.0,85243400.0,268523600.0
2010-06-25,137485600.0,156256700.0,238726500.0
2010-06-26,137485600.0,156256700.0,238726500.0
2010-06-27,137485600.0,156256700.0,238726500.0
2010-06-28,146237000.0,73784800.0,169218600.0
2010-06-29,283336200.0,119882100.0,373649500.0
2010-06-30,184863000.0,81050500.0,284101700.0
2010-07-01,255724000.0,92239400.0,382924800.0
2010-07-02,173460700.0,62485100.0,233385200.0
2010-07-03,173460700.0,62485100.0,233385200.0
2010-07-04,173460700.0,62485100.0,233385200.0
2010-07-05,173460700.0,62485100.0,233385200.0
2010-07-06,153808900.0,73592000.0,256935300.0
2010-07-07,163639000.0,79965300.0,253769400.0
2010-07-08,184536100.0,50758100.0,210842100.0
2010-07-09,108330600.0,53806100.0,144999900.0
2010-07-10,108330600.0,53806100.0,144999900.0
2010-07-11,108330600.0,53806100.0,144999900.0
2010-07-12,140719600.0,49854200.0,131283600.0
2010-07-13,297731000.0,61928700.0,213025900.0
2010-07-14,203011900.0,72808100.0,184426800.0
2010-07-15,206216500.0,56934700.0,232337900.0
2010-07-16,259964600.0,65064800.0,282693400.0
2010-07-17,259964600.0,65064800.0,282693400.0
2010-07-18,259964600.0,65064800.0,282693400.0
2010-07-19,256119500.0,38181800.0,186709000.0
2010-07-20,268737700.0,45530700.0,258162400.0
2010-07-21,296417800.0,73297300.0,264527000.0
2010-07-22,161329700.0,73016400.0,274781300.0
2010-07-23,133347200.0,108520100.0,222020800.0
2010-07-24,133347200.0,108520100.0,222020800.0
2010-07-25,133347200.0,108520100.0,222020800.0
2010-07-26,105137900.0,67249900.0,184445700.0
2010-07-27,146192900.0,60672100.0,204855600.0
2010-07-28,129996300.0,69704800.0,163056200.0
2010-07-29,160951700.0,69446200.0,220149100.0
2010-07-30,112052500.0,83534800.0,220070600.0
2010-07-31,112052500.0,83534800.0,220070600.0
2010-08-01,112052500.0,83534800.0,220070600.0
2010-08-02,107013900.0,55044600.0,188263200.0
2010-08-03,104413400.0,56877700.0,146657300.0
2010-08-04,105093800.0,78531900.0,158171700.0
2010-08-05,72274300.0,64922100.0,140473800.0
2010-08-06,111224400.0,55982100.0,239728300.0
2010-08-07,111224400.0,55982100.0,239728300.0
2010-08-08,111224400.0,55982100.0,239728300.0
2010-08-09,75782000.0,57096500.0,120800400.0
